INTERNAL	#main	-> https://logosbz.com/about/#main	| Skip to content
INTERNAL	https://logosbz.com/	-> https://logosbz.com/	| 
INTERNAL	https://logosbz.com/about/	-> https://logosbz.com/about/	| About Lógos
INTERNAL	https://logosbz.com/about/ethics-and-values/	-> https://logosbz.com/about/ethics-and-values/	| Ethics and Values
INTERNAL	https://logosbz.com/about/areas-of-expertise/	-> https://logosbz.com/about/areas-of-expertise/	| Areas of Expertise
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| Our Services
INTERNAL	https://logosbz.com/services/architecture-engineering/	-> https://logosbz.com/services/architecture-engineering/	| Architecture & Engineering
INTERNAL	https://logosbz.com/services/real-estate-development/	-> https://logosbz.com/services/real-estate-development/	| Real Estate Development
INTERNAL	https://logosbz.com/services/advisory-services/	-> https://logosbz.com/services/advisory-services/	| Advisory Services
INTERNAL	https://logosbz.com/news/	-> https://logosbz.com/news/	| News & Insights
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| Contact
EXTERNAL	tel:301.802.6262	-> tel:301.802.6262	| (301) 802.6262
EXTERNAL	https://www.linkedin.com/company/logosbz/	-> https://www.linkedin.com/company/logosbz/	| 
EXTERNAL	mailto:mpatterson@logosbz.com	-> mailto:mpatterson@logosbz.com	| mpatterson@logosbz.com
EXTERNAL	https://www.linkedin.com/in/mitch-patterson-b4b3b811/	-> https://www.linkedin.com/in/mitch-patterson-b4b3b811/	| LinkedIn
EXTERNAL	mailto:cmalone@logosbz.com	-> mailto:cmalone@logosbz.com	| cmalone@logosbz.com
EXTERNAL	https://www.linkedin.com/in/charleswmalone/	-> https://www.linkedin.com/in/charleswmalone/	| LinkedIn
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| contact
INTERNAL	https://logosbz.com/	-> https://logosbz.com/	| 
INTERNAL	https://logosbz.com/about/	-> https://logosbz.com/about/	| About Lógos
INTERNAL	https://logosbz.com/about/	-> https://logosbz.com/about/	| About Lógos
INTERNAL	https://logosbz.com/about/ethics-and-values/	-> https://logosbz.com/about/ethics-and-values/	| Ethics and Values
INTERNAL	https://logosbz.com/about/areas-of-expertise/	-> https://logosbz.com/about/areas-of-expertise/	| Areas of Expertise
INTERNAL	https://logosbz.com/our-proejcts/	-> https://logosbz.com/our-proejcts/	| Our Proejcts
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| Services
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| Our Services
INTERNAL	https://logosbz.com/services/architecture-engineering/	-> https://logosbz.com/services/architecture-engineering/	| Architecture & Engineering
INTERNAL	https://logosbz.com/services/real-estate-development/	-> https://logosbz.com/services/real-estate-development/	| Real Estate Development
INTERNAL	https://logosbz.com/services/advisory-services/	-> https://logosbz.com/services/advisory-services/	| Advisory Services
INTERNAL	https://logosbz.com/news/	-> https://logosbz.com/news/	| News & Insights
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| Contact
INTERNAL	https://logosbz.com/	-> https://logosbz.com/	| 
INTERNAL	https://logosbz.com	-> https://logosbz.com/	| Home
INTERNAL	#ct-popup-1475	-> https://logosbz.com/about/#ct-popup-1475	| 
INTERNAL	#ct-popup-1475	-> https://logosbz.com/about/#ct-popup-1475	| Charlie Malone
INTERNAL	#ct-popup-1475	-> https://logosbz.com/about/#ct-popup-1475	| Chief Executive Officer
INTERNAL	#ct-popup-2144	-> https://logosbz.com/about/#ct-popup-2144	| 
INTERNAL	#ct-popup-2144	-> https://logosbz.com/about/#ct-popup-2144	| Mitch Patterson
INTERNAL	#ct-popup-2144	-> https://logosbz.com/about/#ct-popup-2144	| Chief Operating Officer
INTERNAL	https://logosbz.com/logos-makes-strategic-hire-in-jay-pelton-to-lead-architecture-practice/	-> https://logosbz.com/logos-makes-strategic-hire-in-jay-pelton-to-lead-architecture-practice/	| Read More
INTERNAL	https://logosbz.com/the-future-of-engineering-trends-shaping-the-next-decade/	-> https://logosbz.com/the-future-of-engineering-trends-shaping-the-next-decade/	| Read More
INTERNAL	https://logosbz.com/how-emerging-technologies-are-transforming-engineering-design/	-> https://logosbz.com/how-emerging-technologies-are-transforming-engineering-design/	| Read More
INTERNAL	https://logosbz.com/news/	-> https://logosbz.com/news/	| view all news
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| connect with us
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| Contact Lógos
EXTERNAL	tel:301.802.6262	-> tel:301.802.6262	| (301) 802.6262
EXTERNAL	https://www.linkedin.com/company/logosbz/	-> https://www.linkedin.com/company/logosbz/	| Linkedin
INTERNAL	https://logosbz.com/about/	-> https://logosbz.com/about/	| About Lógos
INTERNAL	https://logosbz.com/about/ethics-and-values/	-> https://logosbz.com/about/ethics-and-values/	| Ethics and Values
INTERNAL	https://logosbz.com/about/areas-of-expertise/	-> https://logosbz.com/about/areas-of-expertise/	| Areas of Expertise
INTERNAL	https://logosbz.com/news/	-> https://logosbz.com/news/	| News & Insights
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| Contact Us
INTERNAL	https://logosbz.com/about/ethics-and-values/	-> https://logosbz.com/about/ethics-and-values/	| Ethics and Values
INTERNAL	https://logosbz.com/about/areas-of-expertise/	-> https://logosbz.com/about/areas-of-expertise/	| Areas of Expertise
INTERNAL	https://logosbz.com/news/	-> https://logosbz.com/news/	| News & Insights
INTERNAL	https://logosbz.com/contact/	-> https://logosbz.com/contact/	| Contact Us
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| Services
INTERNAL	https://logosbz.com/services/architecture-engineering/	-> https://logosbz.com/services/architecture-engineering/	| Architecture & Engineering
INTERNAL	https://logosbz.com/services/real-estate-development/	-> https://logosbz.com/services/real-estate-development/	| Real Estate Development
INTERNAL	https://logosbz.com/services/advisory-services/	-> https://logosbz.com/services/advisory-services/	| Advisory Services
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| All Services
INTERNAL	https://logosbz.com/services/architecture-engineering/	-> https://logosbz.com/services/architecture-engineering/	| Architecture & Engineering
INTERNAL	https://logosbz.com/services/real-estate-development/	-> https://logosbz.com/services/real-estate-development/	| Real Estate Development
INTERNAL	https://logosbz.com/services/advisory-services/	-> https://logosbz.com/services/advisory-services/	| Advisory Services
INTERNAL	https://logosbz.com/services/	-> https://logosbz.com/services/	| All Services
INTERNAL	#	-> https://logosbz.com/about/#	| Privacy Policy
INTERNAL	#ct-popup-1077	-> https://logosbz.com/about/#ct-popup-1077	| Web Accessibility
